00:00,マリィの秘密商店更新,crystal
00:20,眠れる歌の島,sleepingsong
00:50,ドゥキー島,dooky
01:20,間違った欲望の島,isleofwrongdesire
01:30,スピーダ島,spida
03:00,新月の島,crescent
03:20,眠れる歌の島,sleepingsong
04:50,ドゥキー島,dooky
06:00,マリィの秘密商店更新,crystal
06:00,エラスモ,erasmos
06:20,眠れる歌の島,sleepingsong
07:00,新月の島,crescent
07:20,間違った欲望の島,isleofwrongdesire
07:30,スピーダ島,spida
07:50,アラケル,alacer
08:50,ドゥキー島,dooky
09:20,眠れる歌の島,sleepingsong
11:00,新月の島,crescent
12:00,マリィの秘密商店更新,crystal
12:20,眠れる歌の島,sleepingsong
12:50,ドゥキー島,dooky
13:20,間違った欲望の島,isleofwrongdesire
13:30,スピーダ島,spida
13:50,アラケル,alacer
13:50,？,island
13:50,ボラール島,island
14:00,証明の闘技会：殲滅戦,pvpicon
14:00,証明の闘技会：乱闘戦,pvpicon
14:00,エラスモ,erasmos
15:00,新月の島,crescent
15:20,眠れる歌の島,sleepingsong
16:50,ドゥキー島,dooky
18:00,マリィの秘密商店更新,crystal
18:00,調和の門,seaquesticon
18:20,眠れる歌の島,sleepingsong
19:00,新月の島,crescent
19:20,間違った欲望の島,isleofwrongdesire
19:30,航海共同：ベルン,seaquesticon
19:30,スピーダ島,spida
19:50,アラケル,alacer
20:00,証明の闘技会：殲滅戦,pvpicon
20:00,証明の闘技会：大将戦,pvpicon
20:00,IL340タルシラ,worldbossicon
20:00,IL370ソル＝グランデ,worldbossicon
20:00,IL415プロクシマ,worldbossicon
20:00,エラスモ,erasmos
20:50,ドゥキー島,dooky
20:50,ボラール島,island
21:20,眠れる歌の島,sleepingsong
21:30,航海共同：アルデタイン,seaquesticon
22:00,カオスゲート：ベルン北部,caosgateicon
22:30,スピーダ島,spida
23:00,新月の島,crescent
23:00,調和の門,seaquesticon
23:30,航海共同：アニツ,seaquesticon
